token,game,edad,genero,locucion,encuesta_locucion_time,locucion_donde,mausoleo_modif1,mausoleo_modif2,encuesta_mausoleo_modif_time,mausoleo_modif_preferida,conocidas_torico,conocidas_catedral,conocidas_sanmartin,conocidas_salvador,conocidas_escalinata,conocidas_mausoleo,tiempos_Torico0,tiempos_Torico1,tiempos_Torico2,tiempos_Torico3,tiempos_Torico4,tiempos_Torico5,tiempos_Torico6,tiempos_Torico7,tiempos_Torico8,tiempos_SanMartin0,tiempos_SanMartin1,tiempos_SanMartin2,tiempos_Salvador0,tiempos_Salvador1,tiempos_Salvador2,tiempos_Salvador3,tiempos_Salvador4,tiempos_Salvador5,tiempos_Salvador6,tiempos_Salvador7,tiempos_Salvador8,tiempos_Salvador9,tiempos_Salvador10,tiempos_Salvador11,tiempos_Salvador12,tiempos_Salvador13,tiempos_Salvador14,tiempos_Salvador15,tiempos_Salvador16,tiempos_Escalinata0,tiempos_Escalinata1,tiempos_Escalinata2,tiempos_Escalinata3,tiempos_Escalinata4,tiempos_Escalinata5,tiempos_Mausoleo0,tiempos_Mausoleo1,tiempos_Mausoleo2,tiempos_Mausoleo3,tiempos_Mausoleo4,tiempos_Mausoleo5,tiempos_Mausoleo6,tiempos_Mausoleo7,tiempos_Mausoleo8,tiempos_Mausoleo9,tiempos_Mausoleo10,tiempos_Mausoleo11,tiempos_Mausoleo12,orden_0,orden_1,orden_2,orden_3,orden_4,orden_5,detectados_Torico3,aburrimiento_conocidas_Salvador12,totalAburrido,totalDetectado,opinion_atencion,opinion_concentrado,opinion_consciente,opinion_experimentando,opinion_dejarlo,opinion_interesado,opinion_disfrutar,opinion_hacer_otra,encuesta_opinion_time,opinion_interesante,opinion_problemas,tiempos_Torico9,tiempos_Torico10,tiempos_Torico11,tiempos_Torico12,tiempos_Torico13,tiempos_Catedral0,tiempos_Catedral1,tiempos_Catedral2,tiempos_Catedral3,tiempos_Catedral4,tiempos_Catedral5,tiempos_Catedral6,tiempos_Catedral7,tiempos_SanMartin3,tiempos_SanMartin4,tiempos_SanMartin5,tiempos_SanMartin6,tiempos_SanMartin7,tiempos_SanMartin8,tiempos_SanMartin9,tiempos_SanMartin10,detectados_Torico9,detectados_Torico12,detectados_Salvador6,detectados_Escalinata6,detectados_Mausoleo3,detectados_Mausoleo6,detectados_Mausoleo9,detectados_Mausoleo13,confirmados_Salvador6,confirmados_Escalinata6,escalinata_modif,escalinata_modif_ok,escalinata_mural,escalinata_mural_ok,encuesta_escalinata_modif_time,escalinata_mejor_opcion,tiempos_Escalinata6,tiempos_Escalinata7,tiempos_Escalinata8,tiempos_Escalinata9,tiempos_Escalinata10,tiempos_Escalinata11,tiempos_Escalinata12,tiempos_Escalinata13,tiempos_Escalinata14,tiempos_Escalinata15,aburrimiento_conocidas_Torico12,finished,app_time,detectados_SanMartin11,aburrimiento_conocidas_SanMartin11,aburrimiento_conocidas_Escalinata6
b119e216-3b89-4d18-873b-cdf9f8575d45:1663575266968,teruel,68,2. Mujer,locucion_si,32.565,locucion_movil,mausoleo_modif1_si,mausoleo_modif2_si,47.899,mausoleo_modif_derecha,True,True,True,True,True,True,6,3,4,5,6,11,4,3,6,11,4,16,6,7,9,6,4,5,5,4,6,5,6,5,4,4,5,5,7,18,5,11,5,3,3,82,10,4,6,31,4,3,25,48,6,6,5,4,Torico,Catedral,SanMartin,Salvador,Escalinata,Mausoleo,,,0,0,5. Totalmente de acuerdo,5. Totalmente de acuerdo,6. NSNC,5. Totalmente de acuerdo,6. NSNC,2. En desacuerdo,5. Totalmente de acuerdo,6. NSNC,219.133,,,3,3,8,5,5,6,13,7,7,5,7,8,8,4,6,5,8,5,4,6,7,,,,,,,,,,,modif_rampa,escalinata_modif_si,mural_abajo,mural_si,150.27,mural_mejor,12,3,6,7,4,5,6,7,6,4,,True,1120.489,,,
17b6481f-e6ca-41ef-87a4-0e2dbdb07543:1663574228228,teruel,42,2. Mujer,locucion_no,22.496,locucion_movil,mausoleo_modif1_no,mausoleo_modif2_si,25.679,mausoleo_modif_izquierda,False,False,False,False,False,False,5,3,5,4,11,9,7,3,12,3,7,6,10,9,8,10,5,6,5,4,8,6,6,4,4,5,12,5,8,8,17,14,6,16,2,40,3,4,6,7,4,4,8,7,7,6,9,4,Torico,Catedral,SanMartin,Salvador,Escalinata,Mausoleo,,,0,2,4. De acuerdo,5. Totalmente de acuerdo,4. De acuerdo,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,5. Totalmente de acuerdo,4. De acuerdo,5. Totalmente de acuerdo,195.016,Es interesante conocer los lugares que se pueden visitar en la ciudad y conocer su historia. Ver si puedes o no acceder a ellos y poder opinar para mejorar el acceso a ellos.,Ninguno,3,3,8,5,4,4,21,6,4,5,7,7,6,4,18,4,4,6,2,4,6,,,,True,,,,,,,modif_salvaescaleras,escalinata_modif_si,mural_abajo,mural_si,50.386,mural_mejor,18,5,10,5,7,9,8,11,9,5,,True,886.517,True,True,True
18150520-1dbb-45ae-bc88-0a89021a06f5:1663515648177,teruel,65,1. Hombre,locucion_si,26.744,locucion_movil,mausoleo_modif1_si,mausoleo_modif2_si,24.776,mausoleo_modif_ambas,False,False,False,False,False,False,13,4,6,4,7,10,9,3,8,6,5,8,8,6,8,8,5,7,14,6,10,7,4,6,4,6,8,5,7,5,4,9,7,7,3,42,3,3,5,7,4,5,5,4,4,4,8,4,Torico,Catedral,SanMartin,Salvador,Escalinata,Mausoleo,,,0,1,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente de acuerdo,4. De acuerdo,2. En desacuerdo,5. Totalmente de acuerdo,5. Totalmente de acuerdo,4. De acuerdo,215.493,,,4,2,7,17,4,5,7,7,5,5,7,7,7,5,9,4,5,6,5,5,7,,True,,,,,,,,,modif_salvaescaleras,escalinata_modif_si,mural_abajo,mural_si,60.416,mural_mejor,7,3,6,6,5,6,6,7,9,6,True,True,900.493,,,
2d22ee8d-b7bc-4862-a842-c1f00275e952:1663161737161,teruel,40,Hombre,,,,mausoleo_modif1_no,mausoleo_modif2_si,32.066,mausoleo_modif_izquierda,False,False,False,False,False,False,4,4,5,3,5,9,4,2,5,3,4,8,3,5,6,4,2,4,,,,,,,,,,,,3,3,4,5,3,2,41,2,1,16,1,1,3,2,1,3,1,1,1,Torico,Catedral,SanMartin,Salvador,Escalinata,Mausoleo,,,3,8,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,,,,9,2,9,9,3,3,4,9,6,3,5,5,16,8,6,3,3,6,10,6,7,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
fa51bf86-2d87-4ede-afb1-f49c7108407c:1662632417823,teruel,45,Mujer,locucion_si,9.778,locucion_movil,mausoleo_modif1_no,mausoleo_modif2_si,26.526,mausoleo_modif_izquierda,False,False,False,False,False,False,29,2,4,6,5,6,5,3,4,3,5,5,25,6,5,5,3,4,18,4,5,5,3,5,7,4,5,4,5,5,5,6,5,7,3,42,4,5,4,11,4,19,7,4,5,5,4,3,Torico,Catedral,SanMartin,Salvador,Escalinata,Mausoleo,True,True,4,7,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,212.62,La información es interesante,Ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
